订单编号,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码
227137157876,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
249724088198,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
260733926401,asana G6消腩 丸,240,1,489517460012,,,,卖家已发货，等待买家确认,489517460012
260566147087,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999
260569624641,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
260534007298,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
249647968518,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
249792210474,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
260646406856,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
260637366897,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
260634442758,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
249770950599,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
260470240822,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,买家已付款，等待卖家发货,ecms-tz-0010
260457464137,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
249578768694,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
249711134287,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
260569762674,美国进口普利普莱叶黄素软,176,1,74312149047,,,,卖家已发货，等待买家确认,74312149047
226914339327,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
226914059266,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
260567522706,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261
249694730281,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
249694730281,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
249484975689,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
260517466417,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999
226962016782,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347
260341767837,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338
227051378398,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
249599429070,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338
260292800837,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
227027498795,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
249571510627,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
260432926241,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
260428626965,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
226865699925,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338
249521389280,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
260318225514,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732
249363215432,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
249359708957,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261
260206183737,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
260378846640,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341
260378846640,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
260295405765,日本fancl美白丸全身,204,1,490804934732,,,礼物多多送药盒多送几个货到了返10元,交易成功,490804934732
260296105048,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
260185907622,asana G6消腩 丸,240,1,489517460012,,,,交易成功,489517460012
249316311162,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
260266425129,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易成功,498704921251
249318952207,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226830659878,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
226815059560,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易关闭,490804914233
226812479445,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341
249235068351,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
260075004654,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
260065904847,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
226959117023,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
260140645942,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
260045223193,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
260204346488,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731
226783259627,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
226783259627,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
249149075826,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
226942137745,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261
260004564907,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,买家已付款，等待卖家发货,ecms-tz-0010
249121535898,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
226933537075,日本代购新谷酵素夜迟减肥,399,6,456026429338,,,,交易成功,456026429338
226760619388,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,卖家已发货，等待买家确认,456026429033
226757179843,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
226822176372,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
259951364185,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733
259951364185,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
260022581932,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
249075751105,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
226810976339,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
249209290625,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
259916004209,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
259993225541,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
260065026661,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
249168933356,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
260020462796,swisse睡眠片 澳洲,169,1,931177058824,,,,卖家已发货，等待买家确认,931177058824
249100090421,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732
226762436350,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
259853505529,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
249048273895,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
249012469845,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
259691107342,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
259681667539,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
248819895564,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732
259650707709,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
259738025243,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
259768382162,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
259689725299,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
259605680515,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704
259605680515,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
259590847348,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
259683641974,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,交易关闭,ecms-tz-0010
259757442956,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
259754226872,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338
248714172622,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226688116326,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
259705806522,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
259705806522,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731
259682606317,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704
259682606317,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
259673966866,fancl/芳珂燃脂素 ,258,2,490804914233,,,,卖家已发货，等待买家确认,490804914233
248796433107,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
248804770183,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704
248785269140,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338
226752558590,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,交易成功,456026429033
259446240007,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733
248733133043,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
248581652043,香港直邮  日本FANC,298,1,490804917306,,,,交易关闭,490804917306
248581652043,FANCL/芳珂 HTC,198,1,490804926704,,,,交易关闭,490804926704
248546291565,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
248552768646,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251
259525886528,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
259520686814,日本进口水果果蔬酵素酵母,158,1,493309403134,,,,交易成功,493309403134
259521022335,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
259329523557,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261
259366141143,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
248418112458,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
248567490846,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
248559390589,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733
248559390589,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
259319945526,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
259373846867,日本fancl美白丸全身,204,2,490804934732,,,,交易关闭,490804934732
248344212640,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
259271585676,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,交易成功,456026429338
248463229082,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
226481599155,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
259224785144,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338
259216265258,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
259261506905,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
248370094228,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
248209508815,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易成功,498704921251
226616077228,swisse钙片+维生素,160,1,931177059250,,,,交易成功,931177059250
226616077228,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
248351574415,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
248343870932,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
259178186688,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
259079585806,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226593657839,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
259056721611,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
259110866688,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
248244869604,普丽普莱氨糖软骨素 缓解,290,1,25077278145,,,,买家已付款，等待卖家发货,25077278145
226415119625,日本kawai卡哇伊肝油,259,2,498704921251,,,,卖家已发货，等待买家确认,498704921251
258937864025,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
258908027722,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
258907204997,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
259043826714,美国进口普利普莱叶黄素软,176,1,74312149047,,,,交易成功,74312149047
248025108745,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
248018731548,swisse胶原蛋白片澳,169,1,931177058821,,,,卖家已发货，等待买家确认,931177058821
258938225014,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226366079150,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
226425776287,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
258750983110,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
258921686087,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
258749004746,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226498818889,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
226498818889,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733
258695003796,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
226387816898,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
226481977228,日本代购新谷酵素夜迟减肥,399,2,456026429341,,,,交易成功,456026429341
258795426464,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226473397975,普利普莱氨糖软骨素美国三,489,3,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
247932829466,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
247767711452,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226463717320,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
247914550749,swisse护肝片 澳洲,170,1,931177058999,,,,交易成功,931177058999
247914550749,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261
247914550749,swisse葡萄籽皙颜美,260,2,931177059731,,,,交易成功,931177059731
258570963507,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
258724782495,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
258713126022,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
258713126022,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704
258531347355,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
247829729274,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
258659026785,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
226432157189,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
258590165646,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999
258479340016,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
258438807899,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
226393618459,普丽普莱氨糖软骨素 缓解,290,1,25077278145,,,,卖家已发货，等待买家确认,25077278145
247719393739,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
226289896912,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
258428985175,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733
258428985175,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
247661290104,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
247652614263,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226365218265,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
258404285896,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732
247640870523,fancl/芳珂 祛痘淡,198,1,490804934733,,,,卖家已发货，等待买家确认,490804934733
247640870523,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704
247640870523,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
247476075704,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
258306500945,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
258449686535,swisse睡眠片 澳洲,169,1,931177058824,,,,卖家已发货，等待买家确认,931177058824
226184739315,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
258262820365,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
258262820365,swisse葡萄籽皙颜美,260,1,931177059731,,,,交易成功,931177059731
247566114752,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
247558733807,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
247558733807,swisse葡萄籽皙颜美,260,1,931177059731,,,,交易成功,931177059731
226334438849,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
247564634167,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
258331725057,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704
258396986900,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
258239904986,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
258380046371,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226234156341,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
247529174410,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
247529174410,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
247527410419,普丽普莱 番茄红素软胶囊,226,1,25077184804,,,,卖家已发货，等待买家确认,25077184804
247527410419,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226321738385,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
226225516817,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
226225516817,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226323877148,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
258277165849,fancl/芳珂燃脂素 ,258,1,490804914233,,,,交易成功,490804914233
247503549300,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
247341431238,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
247341431238,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
258256421312,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
226146859631,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,卖家已发货，等待买家确认,931177059169
226146859631,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
226146859631,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731
258291106669,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341
247444309403,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易成功,498704921251
258194005477,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
258050867930,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
258038064853,fancl/芳珂 祛痘淡,198,1,490804934733,,,,交易成功,490804934733
258038064853,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
226167696656,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
226097799401,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341
258023560378,swisse葡萄籽皙颜美,260,1,931177059731,,,,交易成功,931177059731
258023560378,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
226250858034,日本fancl美白丸全身,204,2,490804934732,,,,交易成功,490804934732
258078465938,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
257938803866,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
247259754786,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
226239477885,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
257922507129,swisse护肝片 澳洲,170,1,931177058999,,,,交易成功,931177058999
247249970996,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226229118751,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
257929044018,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
257929044018,香港直邮 FANCL 护,260,1,490804908951,,,,交易成功,490804908951
257929044018,fancl/芳珂 祛痘淡,198,1,490804934733,,,,交易成功,490804934733
257929044018,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704
258003785343,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
247220650741,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
247215190225,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226209678240,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
257855663672,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
257875424235,普丽普莱氨糖维骨力/软骨,580,2,ecms-tz-0010,,,,交易成功,ecms-tz-0010
257946985607,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
257851020680,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
226198138149,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,交易成功,498704921261
257816723474,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
246999151290,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
247133529038,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
247118009308,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
257801164318,日本fancl美白丸全身,204,1,490804934732,,,,交易成功,490804934732
257801164318,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
257883025889,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
257863461619,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,交易关闭,931177059169
226001559212,香港直邮 FANCL 护,260,1,490804908951,,,,卖家已发货，等待买家确认,490804908951
225994119112,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
246998934960,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易成功,456026429338
246998934960,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341
257815942102,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338
257748145898,日本进口水果果蔬酵素酵母,215,1,493309403145,,,,交易成功,493309403145
257748145898,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易成功,456026429341
257748145898,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704
246954589019,日本FANCL复合维生素,99,1,490804928347,,,,交易成功,490804928347
246946894889,日本fancl美白丸全身,204,1,490804934732,,,最新的日期，带正品 防伪码,卖家已发货，等待买家确认,490804934732
257723305406,香港直邮  日本FANC,298,1,490804917306,,,,卖家已发货，等待买家确认,490804917306
257623047110,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731
257623047110,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
257623047110,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347
257635780781,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
257635780781,asana G6消腩 丸,240,1,489517460012,,,,卖家已发货，等待买家确认,489517460012
246789148948,FANCL/芳珂 HTC,198,1,490804926704,,,,交易成功,490804926704
246795211262,swisse护肝片 澳洲,170,1,931177058999,,,,交易成功,931177058999
246789895147,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
246924569449,普丽普莱Puritan',189,2,74312138324,,,,卖家已发货，等待买家确认,74312138324
246924569449,普丽普莱 番茄红素软胶囊,226,1,25077184804,,,,卖家已发货，等待买家确认,25077184804
246924569449,swisse护肝片 澳洲,170,2,931177058999,,,,卖家已发货，等待买家确认,931177058999
246889849264,普丽普莱氨糖维骨力/软骨,580,1,ecms-tz-0010,,,,交易成功,ecms-tz-0010
226009236662,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
257690222632,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
226090558579,普利普莱氨糖软骨素美国三,489,2,ecms-tz-0010,,,,交易成功,ecms-tz-0010
